시리즈,자재코드,제품코드 (Deloitte 추가 분류),해석된 코드 의미,최종 Mapping,소재 Sanitized,용기/외용기 소재,주요 제품 여부_Lv0,주요 제품 여부_Lv1,주요 제품 여부_Lv2,장식,오버캡,외캡,캡,내캡,중캡,숄더,덮개,박킹/패킹,플러그,피스톤,받침,내용기,외용기,용기,펌프,펌프외캡,하캡,리필용기,상체,중체,하체,버튼,스포이드캡,유리관,고무,하버튼,솔대,용기커버,스크류/스크류받침,주걱,용량,크기,무게(g),,image_file
C-4,CSC160-NP,CSC160-NP,C시리즈 / 160 / New + Pump,Pump Bottle,PET,PET,,,,,PETG,,,,,,,,,,,,,PET,PP/AL,,,,,,,,,,,,,,,,160,37.1x143.4,84.6,,product-images/CSC160-NP.png
C-4,CSC130-NP,CSC130-NP,C시리즈 / 130 / New + Pump,Pump Bottle,PET,PET,주요 제품,용기 PET시리즈 펌프 및 스크류 모델,용기 PET_펌프 및 스크류_C130,,PETG,,,,,ABS,,,,,,,PET,,PP,,,,,,,,,,,,,,,,130,43.3x177.5,97.7,,product-images/CSC130-NP.png
C-4,CSC100-NP,CSC100-NP,C시리즈 / 100 / New + Pump,Pump Bottle,PET,PET,,,,,PETG,,,,,ABS,,,,,,,PET,,PP,,,,,,,,,,,,,,,,100,42.2x147.9,80.9,,product-images/CSC100-NP.png
C-4,CSC230-RP,CSC230-RP,C시리즈 / 230 / 단차 + Pump,Pump Bottle,PET,PET,,,,,PETG,,,,,ABS,,,,,,,PET,,PP,,,,,,,,,,,,,,,,230,46.5x207,72.6,,product-images/CSC230-RP.png
C-4,CSC50-RP,CSC50-RP,C시리즈 / 50 / 단차 + Pump,Pump Bottle,PET,PET,,,,,PETG,,,,,,,,,,,,PET,,PP,PP,,,,,,,,,,,,,,,50,32.4x148.7,80.9,,product-images/CSC50-RP.png
C-4,CSC130-RP,CSC130-RP,C시리즈 / 130 / 단차 + Pump,Pump Bottle,PET,PET,주요 제품,용기 PET시리즈 펌프 및 스크류 모델,용기 PET_펌프 및 스크류_C130,,PETG,,,,,ABS,,,,,,,PET,,PP,,,,,,,,,,,,,,,,130,42.9x177.5,91.6,,product-images/CSC130-RP.png
C-4,CSC100-RP,CSC100-RP,C시리즈 / 100 / 단차 + Pump,Pump Bottle,PET,PET,,,,,PETG,,,,,ABS,,,,,,,PET,,PP,,,,,,,,,,,,,,,,100,42.2x147.5,75.3,,product-images/CSC100-RP.png
C-4,CSC100-NA,CSC100-NA,C시리즈 / 100 / New + Airless,Airless Pump Bottle,PP,PP,,,,,PETG,,,,,ABS,,,,LLDPE,ABS,,PP,,PP/AL,,,,,,,,,,,,,,,,100,39.4x174.9,55.3,,product-images/CSC100-NA.png
C-4,CSC50-NA,CSC50-NA,C시리즈 / 50 / New + Airless,Airless Pump Bottle,PETG,PETG,,,,,PETG,,,,,ABS,,,,LLDPE,,PP,PETG,,,PP,,,,,,,,,,,,,,,50,40.7x159.8,122.6,,product-images/CSC50-NA.png
C-4,CSC50-RA,CSC50-RA,C시리즈 / 50 / 단차 + Airless,Airless Pump Bottle,PETG,PETG,,,,,PETG,,,,,,,,,LLDPE,ABS,PP,PETG,,,PP,,,,,,,,,,,,,,,50,32.4x148.7,80.9,,product-images/CSC50-RA.png
C-4,CSC50-DWC,CSC50-DWC,C시리즈 / 50 / 다원컴퍼니 캡,Open Jar,PMMA (아크릴),SMMA,,,,,,PETG,,PP,,,LDPE,,,,,PP,SMMA,,,,,,,,,,,,,,,,,,50,67.2x60.9,137.7,,product-images/CSC50-DWC.png
C-4,CSC50-NDWC,CSC50-NDWC,C시리즈 / 50 / New + 다원컴퍼니 캡,Open Jar,PMMA (아크릴),PMMA,,,,,,PETG,,PP,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,66.6x63,161.7,,product-images/CSC50-NDWC.png
C-4,CSCT50-NDWC,CSCT50-NDWC,T시리즈 / 50 / New + 다원컴퍼니 캡,Open Jar,PETG,PETG,,,,,,PETG,,PP,,,LLDPE,,,,,,PETG,,,,,,,,,,,,,,,,,,50,67x49.5,110.6,,product-images/CSCT50-NDWC.png
C-4,CSCT50-DWC,CSCT50-DWC,T시리즈 / 50 / 다원컴퍼니 캡,Open Jar,PETG,PETG,,,,,,PETG,,PP,,,LLDPE,,,,,,PETG,,,,,,,,,,,,,,,,,,50,67x48.5,85.7,,product-images/CSCT50-DWC.png
C-4,CSSP100-OP,CSSP100-OP,S시리즈 / 100 / 특수 펌프,Pump Bottle,PET,PET,주요 제품,용기 PET시리즈 펌프 및 스크류 모델,용기 PET_펌프 및 스크류_S시리즈,,PN200,,,,,,,,,,,,,PET,ABS/PP,,,,,,,,,,,,,,,,100,42x178.5,,,product-images/CSSP100-OP.png
C-4,CSCN30-P,CSCN30-P,C시리즈(N형) / 30 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,PETG,,,,,ABS,,,,,,PP,PMMA,,PP/AL,,,,,,,,,,,,,,,,30,35.8x112.3,,,product-images/CSCN30-P.png
C-4,CSC60-DU,CSC60-DU - PETG,C시리즈 / 60 / Dual,Double Chamber Bottle,PETG,PETG/PP,,,,,,PN200,,,,ABS,,,,,,,,PETG/PP,PP,,ABS,,,,,,,,,,,,,,30/30,39.2x68.3,53,,product-images/CSC60-DU.png
C-4,CSC60-DU,CSC60-DU - PP,C시리즈 / 60 / Dual,Double Chamber Bottle,PP,PETG/PP,,,,,,PN200,,,,ABS,,,,,,,,PETG/PP,PP,,ABS,,,,,,,,,,,,,,30/30,39.2x68.3,53,,product-images/CSC60-DU.png
C-4,CSC100-DU,CSC100-DU - PETG,C시리즈 / 100 / Dual,Double Chamber Bottle,PETG,PETG/PP,,,,,,PN200,,,,ABS,,,,,,,,PETG/PP,PP,,ABS,,,,,,,,,,,,,,50/50,39.2x161,56.6,,product-images/CSC100-DU.png
C-4,CSC100-DU,CSC100-DU - PP,C시리즈 / 100 / Dual,Double Chamber Bottle,PP,PETG/PP,,,,,,PN200,,,,ABS,,,,,,,,PETG/PP,PP,,ABS,,,,,,,,,,,,,,50/50,39.2x161,56.6,,product-images/CSC100-DU.png
C-에어리스,CSC35-A,CSC35-A,C시리즈 / 35 / Airless,Airless Pump Bottle,PETG,PETG,,,,,PETG,,,,,,,,,LLDPE,ABS,,PETG,,PP/AL,,,,,,,,,,,,,,,,35,28.4x141.5,47.6,,product-images/CSC35-A.png
C-에어리스,CSC25-A,CSC25-A,C시리즈 / 25 / Airless,Airless Pump Bottle,PETG,PETG,,,,,PETG,,,,,,,,,LLDPE,ABS,,PETG,,PP/AL,,,,,,,,,,,,,,,,25,28.4x121,41.8,,product-images/CSC25-A.png
C-에어리스,CSCB50-A,CSCB50-A,C시리즈(베이스) / 50 / Airless,Airless Pump Bottle,PETG,PETG,,,,,PETG,,,,,,,,,LLDPE,ABS,,PETG,,PP/AL,,,,,,,,,,,,,,,,50,32.4x151.2,59.5,,product-images/CSCB50-A.png
C-에어리스,CSCB35-A,CSCB35-A,C시리즈(베이스) / 35 / Airless,Airless Pump Bottle,PETG,PETG,,,,,PETG,,,,,,,,,LLDPE,ABS,,PETG,,PP/AL,,,,,,,,,,,,,,,,35,32.4x125.2,51.2,,product-images/CSCB35-A.png
C-에어리스,CSCB50-SA,CSCB50-SA,C시리즈(베이스) / 50 / Screw + Airless,Airless Pump Bottle,PETG,PETG,,,,,PETG,,,,,ABS,,,,LLDPE,ABS,,PETG,,PP/AL,,,,,,,,,,,,,,,,50,32.4x151.2,59.6,,product-images/CSCB50-SA.png
C-에어리스,CSCB35-SA,CSCB35-SA,C시리즈(베이스) / 35 / Screw + Airless,Airless Pump Bottle,PETG,PETG,,,,,PETG,,,,,ABS,,,,LLDPE,ABS,,PETG,,PP/AL,,,,,,,,,,,,,,,,35,32.4x125.2,51,,product-images/CSCB35-SA.png
D,CSD140-S,CSD140-S,D시리즈(신형원형) / 140 / Screw,Gravity-fed Bottle,PMMA (아크릴),PMMA,,,,,,PMMA,,PP,,ABS,,LDPE,,,,PETG,PMMA,,,,,,,,,,,,,,,,,,140,45.6x187,131.9,,product-images/CSD140-S.png
D,CSD140-P,CSD140-P,D시리즈 / 140 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,,PETG,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,140,45.6x194,139.4,,product-images/CSD140-P.png
D,CSD45-P,CSD45-P,D시리즈 / 45 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,PETG,,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,45,33x169,81.9,,product-images/CSD45-P.png
D,CSD35-P,CSD35-P,D시리즈 / 35 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,PETG,,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,35,33x149,75.3,,product-images/CSD35-P.png
D,CSD25-P,CSD25-P,D시리즈 / 25 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,,PETG,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,25,33x122,60.1,,product-images/CSD25-P.png
D,CSD50-C,CSD50-C,D시리즈 / 50 / 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,ABS,LDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,62.5x58,80,,product-images/CSD50-C.png
D,CSD30-C,CSD30-C,D시리즈 / 30 / 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,ABS,,LDPE,,,,PP,PMMA,,,,,,,,,,,,,,,,,,30,62.5x42.5,63.4,,product-images/CSD30-C.png
E-1,CSE130-S,CSE130-S,E시리즈(테퍼) / 130 / Screw,Gravity-fed Bottle,PMMA (아크릴),PMMA,,,,,,PMMA,,,,ABS,,,LDPE,,,PETG,PMMA,,,,,,,,,,,,,,,,,,130,50x184.1,166.7,,product-images/CSE130-S.png
E-1,CSE130-P,CSE130-P,E시리즈 / 130 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,130,50.5x195.1,163.3,,product-images/CSE130-P.png
E-1,CSE45-P,CSE45-P,E시리즈 / 45 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,45,39.8x157.4,80,,product-images/CSE45-P.png
E-1,CSE35-P,CSE35-P,E시리즈 / 35 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,35,39.8x129.9,70.6,,product-images/CSE35-P.png
E-1,CSE50-C,CSE50-C,E시리즈 / 50 / 초음파,Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,76.3x51.8,149.3,,product-images/CSE50-C.png
E-1,CSE30-C,CSE30-C,E시리즈 / 30 / 초음파,Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,30,65.6x43.7,101.2,,product-images/CSE30-C.png
E-1,CSE15-C,CSE15-C,E시리즈 / 15 / 초음파,Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,15,52.5x38.1,49.4,,product-images/CSE15-C.png
E-2,CSE130-Y,CSE130-Y,E시리즈 / 130 / 초음파(Y),Gravity-fed Bottle,AS/SAN/GPPS,SAN,,,,,,ABS,,PP,,,,,LLDPE,,,PETG,SAN,,,,,,,,,,,,,,,,,,130,48.5x184.8,124.1,,product-images/CSE130-Y.png
E-2,CSE45-Y,CSE45-Y,E시리즈 / 45 / 초음파(Y),Pump Bottle,AS/SAN/GPPS,SAN,,,,,ABS,,,,,ABS,,,,,,PETG,SAN,,PP/AL,,,,,,,,,,,,,,,,45,39.8x157.4,79.3,,product-images/CSE45-Y.png
E-2,CSE35-Y,CSE35-Y,E시리즈 / 35 / 초음파(Y),Pump Bottle,AS/SAN/GPPS,SAN,,,,,ABS,,,,,ABS,,,,,,PETG,SAN,,PP/AL,,,,,,,,,,,,,,,,35,39.8x131.9,70.1,,product-images/CSE35-Y.png
E-2,CSE50-Y,CSE50-Y,E시리즈 / 50 / 초음파(Y),Open Jar,AS/SAN/GPPS,SAN,,,,,,ABS,,PP,,ABS,,,,,,PP,SAN,,,,,,,,,,,,,,,,,,50,60.1x58.2,84.1,,product-images/CSE50-Y.png
E-2,CSE30-Y,CSE30-Y,E시리즈 / 30 / 초음파(Y),Open Jar,AS/SAN/GPPS,SAN,,,,,,ABS,,PP,,ABS,,,,,,PP,SAN,,,,,,,,,,,,,,,,,,30,60.1x58.2,82,,product-images/CSE30-Y.png
F,CSF130-S,CSF130-S,F시리즈(타원형) / 130 / Screw,Gravity-fed Bottle,PMMA (아크릴),PMMA,,,,,,PMMA,,,,ABS,,,LLDPE,,,PETG,PMMA,,,,,,,,,,,,,,,,,,130,62.1x187.6,218.9,,product-images/CSF130-S.png
F,CSF130-P,CSF130-P,F시리즈 / 130 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,130,61.1x182.3,208.1,,product-images/CSF130-P.png
F,CSF45-P,CSF45-P,F시리즈 / 45 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,45,57.2x150.1,153.7,,product-images/CSF45-P.png
F,CSF50-C,CSF50-C,F시리즈 / 50 / 초음파,Open Jar,PMMA (아크릴),PMMA,주요 제품,주요 10개 제품코드,주요 10개 제품코드,,,PMMA,,ABS,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,80x50.6,145,,product-images/CSF50-C.png
F,CSF30-C,CSF30-C,F시리즈 / 30 / 초음파,Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,30,71.6x44.3,115.6,,product-images/CSF30-C.png
F,CSF50-RU,CSF50-RU,F시리즈 / 50 / 단차 + 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,80.1x49.1,131.4,,product-images/CSF50-RU.png
F,CSF30-RU,CSF30-RU,F시리즈 / 30 / 단차 + 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,30,71.6x43.3,98.8,,product-images/CSF30-RU.png
F,CSF50-HRU,CSF50-HRU,F시리즈 / 50 / High + 단차 + 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,80.1x54.5,133.5,,product-images/CSF50-HRU.png
F,CSF30-HRU,CSF30-HRU,F시리즈 / 30 / High + 단차 + 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,30,71.6x48.8,100.7,,product-images/CSF30-HRU.png
F,CSF60-DU,CSF60-DU - PETG,F시리즈 / 60 / Dual,Double Chamber Bottle,PETG,PETG,,,,,,PETG,,,,ABS,,,,,ABS,,PETG/PP,,PP,,,,,,,,,,,,,,,,60,39.7x107,53.5,,
F,CSF60-DU,CSF60-DU - PP,F시리즈 / 60 / Dual,Double Chamber Bottle,PP,PP,,,,,,PETG,,,,ABS,,,,,ABS,,PETG/PP,,PP,,,,,,,,,,,,,,,,60,39.7x107,53.5,,
F,CSF100-DU,CSF100-DU - PETG,F시리즈 / 100 / Dual,Double Chamber Bottle,PETG,PETG,,,,,,PETG,,,,ABS,,,,,ABS,,PETG/PP,,PP,,,,,,,,,,,,,,,,100,39.7x139,65.7,,
F,CSF100-DU,CSF100-DU - PP,F시리즈 / 100 / Dual,Double Chamber Bottle,PP,PP,,,,,,PETG,,,,ABS,,,,,ABS,,PETG/PP,,PP,,,,,,,,,,,,,,,,100,39.7x139,65.7,,
G-1,CSG130-S,CSG130-S,G시리즈(라운드) / 130 / Screw,Gravity-fed Bottle,PMMA (아크릴),PMMA,,,,,,PMMA,,,,ABS,,,LDPE,,,PETG,PMMA,,,,,,,,,,,,,,,,,,130,45x185.8,149.5,,product-images/CSG130-S.png
G-1,CSG130-P,CSG130-P,G시리즈 / 130 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,130,46.3x200.8,154.8,,product-images/CSG130-P.png
G-1,CSC50-G,CSC50-G,C시리즈 / 50 / 라운드 캡,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,50,34.5x170.9,87.2,,product-images/CSC50-G.png
G-1,CSC35-G,CSC35-G,C시리즈 / 35 / 라운드 캡,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,35,34.5x148.2,79.6,,product-images/CSC35-G.png
G-1,CSC25-G,CSC25-G,C시리즈 / 25 / 라운드 캡,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP/AL,,,,,,,,,,,,,,,,25,34.5x121.5,65.3,,product-images/CSC25-G.png
G-1,CSG50-C,CSG50-C,G시리즈 / 50 / 초음파,Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,67.5x56,115.8,,product-images/CSG50-C.png
G-1,CSG50-U,CSG50-U,G시리즈 / 50 / 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,67.5x56,107.3,,product-images/CSG50-U.png
G-1,CSG30-C,CSG30-C,G시리즈 / 30 / 초음파,Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,30,58.2x47.9,74.2,,product-images/CSG30-C.png
G-1,CSG30-U,CSG30-U,G시리즈 / 30 / 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,30,58.2x47.9,69,,product-images/CSG30-U.png
G-1,CSG50-CU,CSG50-CU,G시리즈 / 50 / 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,68x48.6,107.8,,product-images/CSG50-CU.png
G-1,CSG30-CU,CSG30-CU,G시리즈 / 30 / 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,30,58.2x42,69.1,,product-images/CSG30-CU.png
G-1,CSG50-CY,CSG50-CY,G시리즈 / 50 / 초음파 + Y,Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,68x48.6,105.2,,product-images/CSG50-CY.png
G-1,CSG30-CY,CSG30-CY,G시리즈 / 30 / 초음파 + Y,Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,ABS,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,30,58.2x42,70.5,,product-images/CSG30-CY.png
G-2,CSGN300-C,CSGN300-C,G시리즈(N형) / 300 / 단캡,Open Jar,PP,PP,,,,,,PP,,,,,PP,,,,,,PP,,,,,,,,,,,,,,,,,,300,90.5x70.4,154,,product-images/CSGN300-C.png
G-2,CSGN100-C,CSGN100-C,G시리즈(N형) / 100 / 단캡,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,100,74.9x58.2,125.6,,product-images/CSGN100-C.png
G-2,CSGN80-C,CSGN80-C,G시리즈(N형) / 80 / 단캡,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,80,74.9x58.2,123.6,,product-images/CSGN80-C.png
G-2,CSGN50-U,CSGN50-U,G시리즈(N형) / 50 / 언더컷,Open Jar,PMMA (아크릴),PMMA,,,,,,ABS,,PP,,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,67.9x49.3,107.8,,product-images/CSGN50-U.png
G-2,CSGN10-C,CSGN10-C,G시리즈(N형) / 10 / 단캡,Open Jar,PP,PP,,,,,,,PP,,,,,,,,,,,PP,,,,,,,,,,,,,,,,,10,35.8x26,11.1,,product-images/CSGN10-C.png
H,CSH300-C,CSH300-C,H시리즈 / 300 / 단캡,Open Jar,PP,PP,,,,,,PP,,,,,PP,,,,,,,PP,,,,,,,,,,,,,,,,,300,97x75.7,173.6,,product-images/CSH300-C.png
H,CSH250-C,CSH250-C,H시리즈 / 250 / 단캡,Open Jar,PP,PP,,,,,,PP,,,,,PP,,,,,,,PP,,,,,,,,,,,,,,,,,250,97x65.7,156.1,,product-images/CSH250-C.png
H,CSH100-NC,CSH100-NC,H시리즈 / 100 / New + 단캡,Open Jar,PP,PP,,,,,,PP,,,,,PP,,,,,,,PP,,,,,,,,,,,,,,,,,100,68.04x65.6,93.3,,product-images/CSH100-NC.png
H,CSH50-NC,CSH50-NC,H시리즈 / 50 / New + 단캡,Open Jar,PP,PP,주요 제품,ALL PP 모델,ALL PP 모델,,,PP,,,,,PP,,,,,,,PP,,,,,,,,,,,,,,,,,50,54.3x52.5,49,,product-images/CSH50-NC.png
H,CSH50-C,CSH50-C,H시리즈 / 50 / 단캡,Open Jar,AS/SAN/GPPS,GPPS,,,,,,GPPS,,,,,PVC,,,,,,,GPPS,,,,,,,,,,,,,,,,,50,60x41.2,51.7,,product-images/CSH50-C.png
H,CSH30-C,CSH30-C,H시리즈 / 30 / 단캡,Open Jar,AS/SAN/GPPS,GPPS,,,,,,GPPS,,,,,PVC,,,,,,,GPPS,,,,,,,,,,,,,,,,,30,50.2x37.9,33.5,,product-images/CSH30-C.png
H,CSH5-C,CSH5-C,H시리즈 / 5 / 단캡,Open Jar,AS/SAN/GPPS,GPPS,,,,,,GPPS,,,,,PVC,,,,,,,GPPS,,,,,,,,,,,,,,,,,5,34x22,10.4,,product-images/CSH5-C.png
H,CSH10-C,CSH10-C,H시리즈 / 10 / 단캡,Open Jar,PP,PP,,,,,,,PP,,,,,,,,,,,PP,,,,,,,,,,,,,,,,,10,35.8x26,12.2,,product-images/CSH10-C.png
I,CSI130-S,CSI130-S,I시리즈(남성용) / 130 / Screw,Gravity-fed Bottle,PMMA (아크릴),PMMA,,,,,,PMMA,,,,ABS,,,LDPE,,,PETG,PMMA,,,,,,,,,,,,,,,,,,130,82x133.3,183.5,*남성용 향수 바틀 추정,product-images/CSI130-S.png
J,CSJ35-A,CSJ35-A,J시리즈 / 35 / Airless,Airless Pump Bottle,PP,PP,,,,,,PP,,,,,,,,LLDPE,,,PP,,PP,,,,,,,,,,,,,,,,35,42.7x104.3,54.7,,product-images/CSJ35-A.png
J,CSJ60-A,CSJ60-A,J시리즈 / 60 / Airless,Airless Pump Bottle,PP,PP,,,,,,PP,,,,,,,,LLDPE,,,PP,,PP,,,,,,,,,,,,,,,,60,42.7x124.7,61.4,,product-images/CSJ60-A.png
J,CSJB60-A,CSJB60-A,J시리즈(B형) / 60 / Airless,Airless Pump Bottle,PP,PP,,,,,,PP,,,,,,,,LLDPE,,,PP,,PP,,,,,,,,,,,,,,,,60,53.2x105,78.3,,product-images/CSJB60-A.png
J,CSJB110-A,CSJB110-A,J시리즈(B형) / 110 / Airless,Airless Pump Bottle,PP,PP,,,,,,PP,,,,,,,,LLDPE,,,PP,,PP,,,,,,,,,,,,,,,,110,53.2x128.7,93.1,,product-images/CSJB110-A.png
J,CSJB160-A,CSJB160-A,J시리즈(B형) / 160 / Airless,Airless Pump Bottle,PP,PP,,,,,,PP,,,,,,,,LLDPE,,,PP,,PP,,,,,,,,,,,,,,,,160,53.2x170.7,102.4,,product-images/CSJB160-A.png
K,CSK50-PWD,CSK50-PWD,K시리즈(파우더) / 50 / Powder cap,Shifter Jar,AS/SAN/GPPS,SAN,,,,,,ABS,,ABS,,,,LLDPE,,,,,,SAN,,,,,,,,,,,,,,,,,50,83.9x51.5,122.2,,product-images/CSK50-PWD.png
K,CSK30-PWD,CSK30-PWD,K시리즈 / 30 / Powder cap,Shifter Jar,AS/SAN/GPPS,SAN,,,,,,ABS,,ABS,,,,LLDPE,,,,,,SAN,,,,,,,,,,,,,,,,,30,83.9x40.6,105.3,,product-images/CSK30-PWD.png
K,CSK10-PWD,CSK10-PWD,K시리즈 / 10 / Powder cap,Shifter Jar,PMMA (아크릴),PMMA,,,,,,ABS,,,,,,LLDPE,,,,,,PMMA,,,,,,,,,,,,,,,,,10,54.8x24.1,21.7,,product-images/CSK10-PWD.png
K,CSK20-NPWD,CSK20-NPWD,K시리즈 / 20 / New + Powder,Shifter Jar,AS/SAN/GPPS,SAN,,,,,,,,,,,,,,,,,SAN,,,,,,ABS,ABS,,,,,,,,,,,20,69.97x40.6,65.6,,product-images/CSK20-NPWD.png
K,CSK10-NPWD,CSK10-NPWD,K시리즈 / 10 / New + Powder,Shifter Jar,AS/SAN/GPPS,SAN,,,,,,,,,,,,,,,,,SAN,,,,,,ABS,ABS,,,,,,,,,,,10,69.97x32.7,57.5,,product-images/CSK10-NPWD.png
L,CSL130-P,CSL130-P,L시리즈 / 130 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP,,,,,,,,,,,,,,,,130,52.3x197.3,161.5,,product-images/CSL130-P.png
L,CSL50-P,CSL50-P,L시리즈 / 50 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP,,,,,,,,,,,,,,,,50,41.7x158.6,103.3,,product-images/CSL50-P.png
L,CSL30-P,CSL30-P,L시리즈 / 30 / Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP,,,,,,,,,,,,,,,,30,41.7x158.6,101.2,,product-images/CSL30-P.png
L,CSL50-C,CSL50-C,L시리즈 / 50 / 초음파,Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,,ABS,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,50,70x83.9,173.7,,product-images/CSL50-C.png
L,CSL30-C,CSL30-C,L시리즈 / 30 / 초음파,Open Jar,PMMA (아크릴),PMMA,,,,,,PMMA,,,ABS,,LLDPE,,,,,PP,PMMA,,,,,,,,,,,,,,,,,,30,60.7x72.7,118.5,,product-images/CSL30-C.png
L,CSL130-NP,CSL130-NP,L시리즈 / 130 / New + Pump,Pump Bottle,PMMA (아크릴),PMMA,,,,,,PETG,,,,ABS,,,,,,PETG,PMMA,,PP,,,,,,,,,,,,,,,,130,52.2x189.0,159.5,,product-images/CSL130-NP.png
